Suspicious doc 1, Source doc 79, Similarity: 0.0018
Suspicious doc 2, Source doc 79, Similarity: 0.0002
Suspicious doc 3, Source doc 152, Similarity: 0.0002
Suspicious doc 4, Source doc 68, Similarity: 0.0494
Suspicious doc 5, Source doc 239, Similarity: 0.0007
Suspicious doc 6, Source doc 283, Similarity: 0.0025
Suspicious doc 7, Source doc 114, Similarity: 0.0007
Suspicious doc 8, Source doc 82, Similarity: 0.0195
Suspicious doc 9, Source doc 295, Similarity: 0.0017
Suspicious doc 10, Source doc 41, Similarity: 0.0299
Suspicious doc 11, Source doc 94, Similarity: 0.0123
Suspicious doc 12, Source doc 206, Similarity: 0.0011
Suspicious doc 13, Source doc 125, Similarity: 0.0009
Suspicious doc 14, Source doc 248, Similarity: 0.0195
Suspicious doc 15, Source doc 187, Similarity: 0.0025
Suspicious doc 16, Source doc 189, Similarity: 0.0008
Suspicious doc 17, Source doc 238, Similarity: 0.0006
Suspicious doc 18, Source doc 34, Similarity: 0.0028
Suspicious doc 19, Source doc 109, Similarity: 0.0003
Suspicious doc 20, Source doc 111, Similarity: 0.0128
